Species,Locality,Samples,Latitude,Longitude
Crotalus pyrrhus,Apple Valley,6,34.57722817,-117.1249475
Crotalus pyrrhus,Chuckwalla Mtns,2,33.62422785,-115.3204621
Crotalus pyrrhus,Copper Mtn,2,32.51475782,-113.9619246
Crotalus pyrrhus,Deem Hills,2,33.7310332,-112.1404008
Crotalus pyrrhus,Dulzura,3,32.63286884,-116.7816012
Crotalus pyrrhus,Harcuvars,6,34.06135841,-113.2916521
Crotalus pyrrhus,Hieroglyphic Mtns,1,33.89210769,-112.3306392
Crotalus pyrrhus,Lake Elsinore,4,33.73484999,-117.3911737
Crotalus pyrrhus,La Quinta,1,33.59896867,-116.2958969
Crotalus pyrrhus,LSB,8,34.20397293,-116.5858101
Crotalus pyrrhus,McCullough Range,8,35.73415472,-115.1545468
Crotalus pyrrhus,Muddy Mtns,6,36.37529088,-114.7125669
Crotalus pyrrhus,Orocopia Mtns,1,33.59168628,-115.9643634
Crotalus pyrrhus,Palo Verde Mtns,1,33.3153208,-114.7896123
Crotalus pyrrhus,Phoenix Mtns,7,33.57000555,-112.0322962
Crotalus pyrrhus,Pisgah,6,34.74394292,-116.3833876
Crotalus pyrrhus,San Jacinto Mtns,3,33.72970136,-116.7349293
Crotalus pyrrhus,South mountain,8,33.31096325,-112.0445292
Crotalus pyrrhus,Tinajas Altas,9,32.29797973,-114.0490275
Crotalus pyrrhus,Vulture Mtns,1,33.88379586,-112.8192284
Crotalus pyrrhus,Weaver Mtns,2,34.20631572,-112.8024933
